Antecedents,Consequents,Confidence,Lift,Classification
"RED RETROSPOT BOWL, BLUE POLKADOT CUP, BLUE POLKADOT BOWL",BLUE POLKADOT PLATE,0.8333333333333334,29.294871794871796,Best
"SET OF 6 RIBBONS VINTAGE CHRISTMAS, SCANDINAVIAN REDS RIBBONS",6 RIBBONS RUSTIC CHARM,0.8333333333333334,8.102836879432624,Best
"RED RETROSPOT BOWL, BLUE POLKADOT CUP, BLUE POLKADOT PLATE",BLUE POLKADOT BOWL,1.0,30.46666666666667,Best
"ROMANTIC PINKS RIBBONS, SCANDINAVIAN REDS RIBBONS",6 RIBBONS RUSTIC CHARM,0.75,7.292553191489362,Best
"RED RETROSPOT BOWL, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",BLUE POLKADOT CUP,1.0,20.772727272727273,Best
"WOODLAND PARTY BAG + STICKER SET, 6 RIBBONS RUSTIC CHARM",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,4.080357142857143,Best
"RED RETROSPOT BOWL, BLUE POLKADOT CUP","BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",0.7142857142857143,46.632653061224495,Best
"RED RETROSPOT BOWL, BLUE POLKADOT PLATE","BLUE POLKADOT CUP, BLUE POLKADOT BOWL",1.0,45.7,Best
"WOODLAND CHARLOTTE BAG, 6 RIBBONS RUSTIC CHARM",ROUND SNACK BOXES SET OF4 WOODLAND,0.7,2.8562499999999997,Best
"BLUE POLKADOT BOWL, BLUE POLKADOT PLATE","RED RETROSPOT BOWL, BLUE POLKADOT CUP",0.7142857142857143,46.632653061224495,Best
"RED RETROSPOT CUP, BLUE POLKADOT CUP, BLUE POLKADOT PLATE",BLUE POLKADOT BOWL,0.8571428571428571,26.114285714285714,Best
"RED RETROSPOT CUP, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",BLUE POLKADOT CUP,1.0,20.772727272727273,Best
"BLUE POLKADOT CUP, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",RED RETROSPOT BOWL,0.8333333333333334,22.401960784313726,Best
"ROUND SNACK BOXES SET OF 4 FRUITS, WOODLAND CHARLOTTE BAG, BLUE HARMONICA IN BOX",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,4.080357142857143,Best
"RED RETROSPOT CUP, GREEN POLKADOT BOWL, BLUE POLKADOT BOWL",BLUE POLKADOT CUP,0.8333333333333334,17.310606060606062,Best
"RED RETROSPOT CUP, GREEN POLKADOT BOWL","BLUE POLKADOT CUP, BLUE POLKADOT BOWL",0.7142857142857143,32.642857142857146,Best
"RED RETROSPOT BOWL, BLUE POLKADOT CUP, BLUE POLKADOT BOWL",RED RETROSPOT PLATE,0.8333333333333334,18.134920634920636,Best
"RED RETROSPOT BOWL, BLUE POLKADOT CUP, RED RETROSPOT PLATE",BLUE POLKADOT BOWL,0.8333333333333334,25.388888888888893,Best
"RED RETROSPOT BOWL, BLUE POLKADOT BOWL, RED RETROSPOT PLATE",BLUE POLKADOT CUP,1.0,20.772727272727273,Best
"REGENCY CAKESTAND 3 TIER, SCANDINAVIAN REDS RIBBONS",6 RIBBONS RUSTIC CHARM,1.0,9.72340425531915,Best
"RED RETROSPOT BOWL, BLUE POLKADOT CUP","BLUE POLKADOT BOWL, RED RETROSPOT PLATE",0.7142857142857143,36.269841269841265,Best
"RED RETROSPOT BOWL, RED RETROSPOT PLATE","BLUE POLKADOT CUP, BLUE POLKADOT BOWL",0.8333333333333334,38.083333333333336,Best
"RED RETROSPOT CUP, BLUE POLKADOT CUP, BLUE POLKADOT BOWL",RED RETROSPOT PLATE,0.7777777777777777,16.925925925925924,Best
"RED RETROSPOT CUP, BLUE POLKADOT CUP, RED RETROSPOT PLATE",BLUE POLKADOT BOWL,0.7,21.326666666666668,Best
"RED RETROSPOT CUP, BLUE POLKADOT BOWL, RED RETROSPOT PLATE",BLUE POLKADOT CUP,1.0,20.772727272727273,Best
"BLUE POLKADOT CUP, BLUE POLKADOT BOWL, RED RETROSPOT PLATE",RED RETROSPOT CUP,0.875,12.49609375,Best
"BLUE POLKADOT CUP, BLUE POLKADOT BOWL","RED RETROSPOT CUP, RED RETROSPOT PLATE",0.7,22.849999999999998,Best
"BLUE POLKADOT BOWL, RED RETROSPOT PLATE","RED RETROSPOT CUP, BLUE POLKADOT CUP",0.7777777777777777,22.215277777777775,Best
"RED RETROSPOT CUP, BLUE POLKADOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS",BLUE POLKADOT BOWL,0.8571428571428571,26.114285714285714,Best
"RED RETROSPOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS, BLUE POLKADOT BOWL",BLUE POLKADOT CUP,0.8571428571428571,17.805194805194805,Best
"BLUE POLKADOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS, BLUE POLKADOT BOWL",RED RETROSPOT CUP,1.0,14.28125,Best
"RED RETROSPOT BOWL, BLUE POLKADOT BOWL","RED RETROSPOT CUP, BLUE POLKADOT CUP",0.75,21.421875,Best
"RED RETROSPOT BOWL, BLUE POLKADOT CUP","RED RETROSPOT CUP, BLUE POLKADOT BOWL",0.8571428571428571,32.64285714285714,Best
"RED RETROSPOT BOWL, BLUE POLKADOT CUP, BLUE POLKADOT BOWL",RED RETROSPOT CUP,1.0,14.28125,Best
"RED RETROSPOT CUP, RED RETROSPOT BOWL, BLUE POLKADOT BOWL",BLUE POLKADOT CUP,0.75,15.579545454545453,Best
"ROBOT BIRTHDAY CARD, 6 RIBBONS RUSTIC CHARM",SPACEBOY LUNCH BOX,0.7142857142857143,6.945288753799392,Best
"BLUE POLKADOT CUP, GREEN POLKADOT BOWL","RED RETROSPOT CUP, BLUE POLKADOT BOWL",0.8333333333333334,31.736111111111114,Best
"GREEN POLKADOT BOWL, BLUE POLKADOT BOWL","RED RETROSPOT CUP, BLUE POLKADOT CUP",0.8333333333333334,23.802083333333336,Best
"SPACEBOY BIRTHDAY CARD, 6 RIBBONS RUSTIC CHARM",ROBOT BIRTHDAY CARD,1.0,30.46666666666667,Best
"ROBOT BIRTHDAY CARD, 6 RIBBONS RUSTIC CHARM",SPACEBOY BIRTHDAY CARD,0.7142857142857143,14.837662337662337,Best
"RED RETROSPOT CUP, PINK  POLKADOT CUP, BLUE POLKADOT BOWL",BLUE POLKADOT CUP,0.8333333333333334,17.310606060606062,Best
"PINK  POLKADOT CUP, BLUE POLKADOT CUP, BLUE POLKADOT BOWL",RED RETROSPOT CUP,0.8333333333333334,11.901041666666668,Best
"BLUE POLKADOT CUP, GREEN POLKADOT BOWL, BLUE POLKADOT BOWL",RED RETROSPOT CUP,1.0,14.28125,Best
"ROBOT BIRTHDAY CARD, 6 RIBBONS RUSTIC CHARM",ROUND SNACK BOXES SET OF4 WOODLAND,0.8571428571428571,3.497448979591837,Best
"PINK  POLKADOT CUP, BLUE POLKADOT CUP, BLUE POLKADOT BOWL",RED RETROSPOT PLATE,1.0,21.761904761904763,Best
"PINK  POLKADOT CUP, BLUE POLKADOT CUP, RED RETROSPOT PLATE",BLUE POLKADOT BOWL,0.75,22.85,Best
"PINK  POLKADOT CUP, BLUE POLKADOT BOWL, RED RETROSPOT PLATE",BLUE POLKADOT CUP,1.0,20.772727272727273,Best
"BLUE POLKADOT CUP, BLUE POLKADOT BOWL, RED RETROSPOT PLATE",PINK  POLKADOT CUP,0.75,19.041666666666664,Best
"PINK  POLKADOT CUP, BLUE POLKADOT BOWL","BLUE POLKADOT CUP, RED RETROSPOT PLATE",0.8571428571428571,35.61038961038961,Best
"STRAWBERRY CERAMIC TRINKET BOX, 6 RIBBONS RUSTIC CHARM",REGENCY CAKESTAND 3 TIER,0.7142857142857143,5.1814058956916105,Best
"RED RETROSPOT CUP, RED RETROSPOT BOWL, BLUE POLKADOT CUP",BLUE POLKADOT BOWL,0.8571428571428571,26.114285714285714,Best
"PINK  POLKADOT CUP, BLUE POLKADOT BOWL","RED RETROSPOT CUP, BLUE POLKADOT CUP",0.7142857142857143,20.401785714285715,Best
"SET OF 12 MINI LOAF BAKING CASES, 6 RIBBONS RUSTIC CHARM",SET OF 6 SNACK LOAF BAKING CASES,0.8333333333333334,23.802083333333336,Best
"SET OF 6 SNACK LOAF BAKING CASES, 6 RIBBONS RUSTIC CHARM",SET OF 12 MINI LOAF BAKING CASES,1.0,24.05263157894737,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, BLUE HARMONICA IN BOX, SPACEBOY LUNCH BOX",ROUND SNACK BOXES SET OF 4 FRUITS,0.7142857142857143,4.533730158730158,Best
"BLUE HARMONICA IN BOX, RED  HARMONICA IN BOX, GUMBALL COAT RACK",SPACEBOY LUNCH BOX,0.8333333333333334,8.102836879432624,Best
"BLUE HARMONICA IN BOX, GUMBALL COAT RACK, SPACEBOY LUNCH BOX",RED  HARMONICA IN BOX,1.0,21.761904761904763,Best
"JAM MAKING SET PRINTED, LIPSTICK PEN RED",ALARM CLOCK BAKELIKE PINK,0.8333333333333334,11.901041666666668,Best
"ALARM CLOCK BAKELIKE PINK, LIPSTICK PEN RED",JAM MAKING SET PRINTED,0.8333333333333334,9.067460317460318,Best
"GUMBALL COAT RACK, BLUE HARMONICA IN BOX","RED  HARMONICA IN BOX, SPACEBOY LUNCH BOX",0.7142857142857143,40.80357142857143,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, REGENCY CAKESTAND 3 TIER, GUMBALL COAT RACK",BLUE HARMONICA IN BOX,0.7142857142857143,14.837662337662337,Best
"FUNKY DIVA PEN, REGENCY CAKESTAND 3 TIER",ALARM CLOCK BAKELIKE PINK,1.0,14.28125,Best
"FUNKY DIVA PEN, ALARM CLOCK BAKELIKE PINK",REGENCY CAKESTAND 3 TIER,0.7142857142857143,5.1814058956916105,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX",GUMBALL COAT RACK,1.0,13.848484848484848,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, GUMBALL COAT RACK, BLUE HARMONICA IN BOX",REGENCY CAKESTAND 3 TIER,0.8333333333333334,6.044973544973545,Best
"REGENCY CAKESTAND 3 TIER, GUMBALL COAT RACK, BLUE HARMONICA IN BOX",ROUND SNACK BOXES SET OF4 WOODLAND,0.8333333333333334,3.4002976190476195,Best
"BIG DOUGHNUT FRIDGE MAGNETS, REGENCY CAKESTAND 3 TIER",ALARM CLOCK BAKELIKE PINK,0.75,10.7109375,Best
"BIG DOUGHNUT FRIDGE MAGNETS, ALARM CLOCK BAKELIKE PINK",REGENCY CAKESTAND 3 TIER,1.0,7.253968253968254,Best
"REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX","ROUND SNACK BOXES SET OF4 WOODLAND, GUMBALL COAT RACK",0.7142857142857143,20.401785714285715,Best
"GUMBALL COAT RACK, BLUE HARMONICA IN BOX","ROUND SNACK BOXES SET OF4 WOODLAND, REGENCY CAKESTAND 3 TIER",0.7142857142857143,18.134920634920633,Best
"BLUE HARMONICA IN BOX, RED  HARMONICA IN BOX, SPACEBOY LUNCH BOX",GUMBALL COAT RACK,0.8333333333333334,11.54040404040404,Best
"ALARM CLOCK BAKELIKE PINK, PANTRY MAGNETIC  SHOPPING LIST",JAM MAKING SET PRINTED,0.75,8.160714285714286,Best
"GUMBALL COAT RACK, RED  HARMONICA IN BOX, SPACEBOY LUNCH BOX",BLUE HARMONICA IN BOX,0.7142857142857143,14.837662337662337,Best
"GUMBALL COAT RACK, BLUE HARMONICA IN BOX","ROUND SNACK BOXES SET OF4 WOODLAND, RED  HARMONICA IN BOX",0.7142857142857143,25.10989010989011,Best
"CARD CIRCUS PARADE, RED  HARMONICA IN BOX, BLUE HARMONICA IN BOX",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,4.080357142857143,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, BLUE HARMONICA IN BOX, CARD CIRCUS PARADE",RED  HARMONICA IN BOX,1.0,21.761904761904763,Best
"RED  HARMONICA IN BOX, CARD CIRCUS PARADE","ROUND SNACK BOXES SET OF4 WOODLAND, BLUE HARMONICA IN BOX",0.8333333333333334,25.388888888888893,Best
"BLUE HARMONICA IN BOX, CARD CIRCUS PARADE","ROUND SNACK BOXES SET OF4 WOODLAND, RED  HARMONICA IN BOX",1.0,35.15384615384615,Best
"RED TOADSTOOL LED NIGHT LIGHT, JAM MAKING SET PRINTED",ALARM CLOCK BAKELIKE PINK,0.8571428571428571,12.241071428571429,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX, GUMBALL COAT RACK",BLUE HARMONICA IN BOX,0.8571428571428571,17.805194805194805,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX, BLUE HARMONICA IN BOX",GUMBALL COAT RACK,1.0,13.848484848484848,Best
"REGENCY CAKESTAND 3 TIER, GUMBALL COAT RACK, SPACEBOY LUNCH BOX",BLUE HARMONICA IN BOX,0.7142857142857143,14.837662337662337,Best
"BLUE HARMONICA IN BOX, RED  HARMONICA IN BOX, GUMBALL COAT RACK",REGENCY CAKESTAND 3 TIER,1.0,7.253968253968254,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX","GUMBALL COAT RACK, BLUE HARMONICA IN BOX",0.8571428571428571,55.95918367346939,Best
"RED  HARMONICA IN BOX, GUMBALL COAT RACK","REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX",0.75,48.964285714285715,Best
"REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX","RED  HARMONICA IN BOX, GUMBALL COAT RACK",0.8571428571428571,48.964285714285715,Best
"GUMBALL COAT RACK, BLUE HARMONICA IN BOX","REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX",0.8571428571428571,55.95918367346939,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, RED  HARMONICA IN BOX, GUMBALL COAT RACK",BLUE HARMONICA IN BOX,0.8333333333333334,17.310606060606062,Best
"BLUE HARMONICA IN BOX, RED  HARMONICA IN BOX, GUMBALL COAT RACK",ROUND SNACK BOXES SET OF4 WOODLAND,0.8333333333333334,3.4002976190476195,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, GUMBALL COAT RACK, BLUE HARMONICA IN BOX",RED  HARMONICA IN BOX,0.8333333333333334,18.134920634920636,Best
"REGENCY CAKESTAND 3 TIER, GUMBALL COAT RACK, BLUE HARMONICA IN BOX",RED  HARMONICA IN BOX,1.0,21.761904761904763,Best
"ALARM CLOCK BAKELIKE PINK, LIPSTICK PEN RED",BIG DOUGHNUT FRIDGE MAGNETS,0.8333333333333334,25.388888888888893,Best
"BIG DOUGHNUT FRIDGE MAGNETS, LIPSTICK PEN RED",ALARM CLOCK BAKELIKE PINK,0.8333333333333334,11.901041666666668,Best
"BIG DOUGHNUT FRIDGE MAGNETS, ALARM CLOCK BAKELIKE PINK",LIPSTICK PEN RED,0.8333333333333334,27.202380952380956,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX","BLUE HARMONICA IN BOX, SPACEBOY LUNCH BOX",0.7142857142857143,40.80357142857143,Best
"ALARM CLOCK BAKELIKE PINK, SPACEBOY LUNCH BOX",ALARM CLOCK BAKELIKE GREEN,0.8333333333333334,25.388888888888893,Best
"ALARM CLOCK BAKELIKE GREEN, SPACEBOY LUNCH BOX",ALARM CLOCK BAKELIKE PINK,1.0,14.28125,Best
"REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX","RED  HARMONICA IN BOX, SPACEBOY LUNCH BOX",0.7142857142857143,40.80357142857143,Best
"ALARM CLOCK BAKELIKE PINK, PACK OF 72 RETROSPOT CAKE CASES",ALARM CLOCK BAKELIKE GREEN,0.8333333333333334,25.388888888888893,Best
"ROUND SNACK BOXES SET OF 4 FRUITS, RED  HARMONICA IN BOX, BLUE HARMONICA IN BOX",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,4.080357142857143,Best
"ALARM CLOCK BAKELIKE GREEN, PACK OF 72 RETROSPOT CAKE CASES",ALARM CLOCK BAKELIKE PINK,1.0,14.28125,Best
"REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX, SPACEBOY LUNCH BOX",RED  HARMONICA IN BOX,1.0,21.761904761904763,Best
"ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE RED",ALARM CLOCK BAKELIKE GREEN,0.7272727272727272,22.157575757575756,Best
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK",ALARM CLOCK BAKELIKE RED,0.8,17.40952380952381,Best
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE CHOCOLATE",ALARM CLOCK BAKELIKE RED,1.0,21.761904761904763,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, RED  HARMONICA IN BOX, SPACEBOY LUNCH BOX",BLUE HARMONICA IN BOX,0.8333333333333334,17.310606060606062,Best
"SPACEBOY LUNCH BOX, RED  HARMONICA IN BOX, BLUE HARMONICA IN BOX",ROUND SNACK BOXES SET OF4 WOODLAND,0.8333333333333334,3.4002976190476195,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, BLUE HARMONICA IN BOX, SPACEBOY LUNCH BOX",RED  HARMONICA IN BOX,0.7142857142857143,15.54421768707483,Best
"SPACEBOY BIRTHDAY CARD, 6 RIBBONS RUSTIC CHARM",SPACEBOY LUNCH BOX,1.0,9.72340425531915,Best
"ROUND SNACK BOXES SET OF 4 FRUITS, BLUE HARMONICA IN BOX, SPACEBOY LUNCH BOX",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,4.080357142857143,Best
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED",ALARM CLOCK BAKELIKE PINK,0.7272727272727272,10.386363636363635,Best
"RED TOADSTOOL LED NIGHT LIGHT, 6 RIBBONS RUSTIC CHARM",REGENCY CAKESTAND 3 TIER,0.75,5.440476190476191,Best
"SPACEBOY LUNCH BOX, RED  HARMONICA IN BOX, BLUE HARMONICA IN BOX",REGENCY CAKESTAND 3 TIER,0.8333333333333334,6.044973544973545,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX, SPACEBOY LUNCH BOX",BLUE HARMONICA IN BOX,0.8333333333333334,17.310606060606062,Best
"REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX, SPACEBOY LUNCH BOX",GUMBALL COAT RACK,1.0,13.848484848484848,Best
"BLUE HARMONICA IN BOX, GUMBALL COAT RACK, SPACEBOY LUNCH BOX",REGENCY CAKESTAND 3 TIER,1.0,7.253968253968254,Best
"REGENCY CAKESTAND 3 TIER, GUMBALL COAT RACK, BLUE HARMONICA IN BOX",SPACEBOY LUNCH BOX,0.8333333333333334,8.102836879432624,Best
"BIG DOUGHNUT FRIDGE MAGNETS, JAM MAKING SET PRINTED",ALARM CLOCK BAKELIKE PINK,0.8333333333333334,11.901041666666668,Best
"BIG DOUGHNUT FRIDGE MAGNETS, ALARM CLOCK BAKELIKE PINK",JAM MAKING SET PRINTED,0.8333333333333334,9.067460317460318,Best
"REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX","GUMBALL COAT RACK, SPACEBOY LUNCH BOX",0.7142857142857143,29.675324675324674,Best
"ALARM CLOCK BAKELIKE PINK, SPACEBOY LUNCH BOX",ALARM CLOCK BAKELIKE RED,0.8333333333333334,18.134920634920636,Best
"ALARM CLOCK BAKELIKE GREEN, SPACEBOY LUNCH BOX",ALARM CLOCK BAKELIKE RED,1.0,21.761904761904763,Best
"GUMBALL COAT RACK, BLUE HARMONICA IN BOX","REGENCY CAKESTAND 3 TIER, SPACEBOY LUNCH BOX",0.7142857142857143,27.202380952380953,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX, BLUE HARMONICA IN BOX",ROUND SNACK BOXES SET OF4 WOODLAND,0.8333333333333334,3.4002976190476195,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX",RED  HARMONICA IN BOX,1.0,21.761904761904763,Best
"ALARM CLOCK BAKELIKE ORANGE, SPACEBOY LUNCH BOX",ROUND SNACK BOXES SET OF4 WOODLAND,0.8333333333333334,3.4002976190476195,Best
"ALARM CLOCK BAKELIKE ORANGE, ROUND SNACK BOXES SET OF4 WOODLAND",SPACEBOY LUNCH BOX,0.8333333333333334,8.102836879432624,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX","ROUND SNACK BOXES SET OF4 WOODLAND, BLUE HARMONICA IN BOX",0.7142857142857143,21.761904761904763,Best
"REGENCY CAKESTAND 3 TIER, BLUE HARMONICA IN BOX","ROUND SNACK BOXES SET OF4 WOODLAND, RED  HARMONICA IN BOX",0.7142857142857143,25.10989010989011,Best
"REGENCY CAKESTAND 3 TIER, RED  HARMONICA IN BOX, BLUE HARMONICA IN BOX",SPACEBOY LUNCH BOX,0.8333333333333334,8.102836879432624,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, RED  HARMONICA IN BOX, REGENCY CAKESTAND 3 TIER",BLUE HARMONICA IN BOX,0.8333333333333334,17.310606060606062,Best
"BLUE POLKADOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS","RED RETROSPOT CUP, BLUE POLKADOT BOWL",0.8571428571428571,32.64285714285714,Best
"ROUND SNACK BOXES SET OF 4 FRUITS, BLUE POLKADOT BOWL","RED RETROSPOT CUP, BLUE POLKADOT CUP",0.75,21.421875,Best
"RED RETROSPOT CUP, RED RETROSPOT BOWL, BLUE POLKADOT PLATE",BLUE POLKADOT BOWL,1.0,30.46666666666667,Best
"BLUE POLKADOT CUP, PINK  POLKADOT PLATE","PINK  POLKADOT CUP, RED RETROSPOT PLATE",0.75,38.08333333333333,Best
"RED RETROSPOT CUP, PINK  POLKADOT CUP, PINK POLKADOT BOWL",BLUE POLKADOT CUP,0.7142857142857143,14.837662337662337,Best
"RED RETROSPOT CUP, BLUE POLKADOT CUP, PINK POLKADOT BOWL",PINK  POLKADOT CUP,0.8333333333333334,21.15740740740741,Best
"PINK  POLKADOT CUP, BLUE POLKADOT CUP, PINK POLKADOT BOWL",RED RETROSPOT CUP,0.8333333333333334,11.901041666666668,Best
"BLUE POLKADOT CUP, PINK POLKADOT BOWL","RED RETROSPOT CUP, PINK  POLKADOT CUP",0.7142857142857143,23.316326530612248,Best
"PINK  POLKADOT CUP, BLUE POLKADOT CUP, PINK POLKADOT BOWL",RED RETROSPOT PLATE,0.8333333333333334,18.134920634920636,Best
"PINK  POLKADOT CUP, PINK POLKADOT BOWL, RED RETROSPOT PLATE",BLUE POLKADOT CUP,1.0,20.772727272727273,Best
"BLUE POLKADOT CUP, PINK POLKADOT BOWL, RED RETROSPOT PLATE",PINK  POLKADOT CUP,1.0,25.38888888888889,Best
"BLUE POLKADOT CUP, PINK POLKADOT BOWL","PINK  POLKADOT CUP, RED RETROSPOT PLATE",0.7142857142857143,36.269841269841265,Best
"PINK POLKADOT BOWL, RED RETROSPOT PLATE","PINK  POLKADOT CUP, BLUE POLKADOT CUP",1.0,38.083333333333336,Best
"RED RETROSPOT CUP, PINK  POLKADOT CUP, BLUE POLKADOT CUP",RED RETROSPOT PLATE,0.7777777777777777,16.925925925925924,Best
"RED RETROSPOT CUP, PINK  POLKADOT CUP, RED RETROSPOT PLATE",BLUE POLKADOT CUP,0.875,18.176136363636363,Best
"RED RETROSPOT CUP, BLUE POLKADOT CUP, RED RETROSPOT PLATE",PINK  POLKADOT CUP,0.7,17.77222222222222,Best
"PINK  POLKADOT CUP, BLUE POLKADOT CUP, RED RETROSPOT PLATE",RED RETROSPOT CUP,0.875,12.49609375,Best
